@relation manos
@attribute hu1 numeric
@attribute hu2 numeric
@attribute hu3 numeric
@attribute hu4 numeric
@attribute hu5 numeric
@attribute hu6 numeric
@attribute hu7 numeric
@attribute tipo {mano, noMano}
@data
0.21249683488260201, 0.0043200805073991865, 0.0007324483119546326, 0.00018042354535097743, 2.232047708174841e-08, 1.0916721379483092e-05, -6.167381733202196e-08, mano
0.22053526463960216, 0.008581859487247141, 0.00029535944852063744, 0.0002593798869421296, -5.106990969323333e-09, 1.2124588484424966e-05, -7.161075856923138e-08, mano
0.19074172339195153, 0.004893230590199846, 0.0004540207375768406, 5.9238748146559364e-05, 9.169817841553263e-09, 3.606564312172064e-06, -3.208946627459194e-09, mano
0.2014751865629566, 0.009762433443828405, 0.00042932383471560047, 5.429766405695447e-05, 7.990425025327095e-09, 2.5097457100529166e-06, 2.2091342877194226e-09, mano
0.1928628401306139, 0.005645923451170216, 0.0003124305476711383, 7.224145056401408e-05, 9.633060867923758e-09, 5.0422686116193926e-06, -4.9995342763583035e-09, mano
0.20239688177035076, 0.004941500057392544, 0.00032242134600511733, 0.00018589712922873486, 3.2843069198817695e-08, 1.3008203758795625e-05, -3.150598719903719e-08, mano
0.21404480287839595, 0.010907391891205327, 0.0006583749694393659, 7.475472122464694e-05, 1.5649039226711256e-08, 2.761067158318993e-06, 5.490295764334567e-09, mano
0.22267099646860422, 0.010886627431028471, 0.0004523777045557565, 0.00018757484945626372, 3.0219087557189964e-09, 1.9554913984249432e-05, -5.455660022500363e-08, mano
0.20731816279259635, 0.008893754170355303, 0.0007450358624675412, 9.924224580050839e-05, 2.640552813895242e-08, 6.925209449369825e-06, -5.565549241828097e-09, mano
0.19742459045182814, 0.002817989973351317, 0.0008602666459177432, 9.574045350088508e-05, 1.809204269184539e-08, 5.072624617951477e-06, -2.0679224216690455e-08, mano
0.21364771945523675, 0.010914103888440559, 0.0005401255177685566, 8.187061284562116e-05, 1.7125147572984745e-08, 4.663369136811509e-06, -1.7691082395899715e-09, mano
0.21795438232468559, 0.011865134501403448, 0.0007094920259531146, 7.303538448110759e-05, 1.4715129071413882e-08, 1.3817800055238867e-06, 7.737634276504774e-09, mano
